Time (UTC),Open,High,Low,Close,Volume 
2024.01.01 23:00:00,2064.562,2067.475,2063.395,2063.996,0.49932
2024.01.02 00:00:00,2063.996,2066.045,2062.572,2065.685,0.54896
2024.01.02 01:00:00,2065.565,2070.135,2065.085,2066.866,1.49344
2024.01.02 02:00:00,2066.875,2068.642,2064.242,2068.035,1.09153
2024.01.02 03:00:00,2068.035,2070.575,2066.735,2069.845,0.44554
2024.01.02 04:00:00,2069.875,2070.855,2069.135,2069.865,0.29884
2024.01.02 05:00:00,2069.875,2075.105,2069.745,2074.705,0.8295
2024.01.02 06:00:00,2074.755,2076.965,2073.155,2074.435,0.60701
2024.01.02 07:00:00,2074.355,2076.625,2073.365,2073.365,1.02361
2024.01.02 08:00:00,2073.365,2074.825,2072.035,2073.535,1.67494
2024.01.02 09:00:00,2073.555,2079.145,2073.485,2077.235,1.39749
2024.01.02 10:00:00,2077.255,2077.965,2073.735,2076.265,0.75128
2024.01.02 11:00:00,2076.225,2076.445,2068.525,2069.445,1.34438
2024.01.02 12:00:00,2069.365,2069.695,2065.342,2068.195,1.55635
2024.01.02 13:00:00,2068.165,2071.285,2065.102,2066.495,1.82621
2024.01.02 14:00:00,2066.565,2070.625,2062.445,2070.595,2.61064
2024.01.02 15:00:00,2070.565,2070.905,2056.145,2059.572,4.35989
2024.01.02 16:00:00,2059.616,2067.845,2059.405,2066.355,1.5879
2024.01.02 17:00:00,2066.385,2067.215,2062.092,2062.965,1.06494
2024.01.02 18:00:00,2062.965,2065.225,2060.805,2061.405,1.29406
2024.01.02 19:00:00,2061.345,2062.392,2060.665,2061.115,0.46033
2024.01.02 20:00:00,2061.175,2061.885,2058.192,2058.402,1.40035
2024.01.02 21:00:00,2058.462,2059.492,2058.302,2059.045,0.6969
2024.01.02 23:00:00,2059.772,2060.305,2058.945,2059.805,0.33103
2024.01.03 00:00:00,2059.815,2062.335,2059.435,2060.395,0.73311
2024.01.03 01:00:00,2060.405,2062.755,2059.792,2062.732,1.20252
2024.01.03 02:00:00,2062.732,2065.385,2061.825,2064.905,0.70645
2024.01.03 03:00:00,2064.885,2065.882,2063.582,2065.315,0.94864
2024.01.03 04:00:00,2065.255,2065.822,2064.665,2065.112,0.47004
2024.01.03 05:00:00,2065.092,2066.175,2063.705,2064.285,0.58672
2024.01.03 06:00:00,2064.255,2065.655,2063.655,2064.535,1.05276
2024.01.03 07:00:00,2064.525,2064.555,2061.085,2063.205,1.0622
2024.01.03 08:00:00,2063.135,2064.545,2059.065,2060.245,1.02345
2024.01.03 09:00:00,2060.315,2060.835,2054.525,2057.005,0.92681
2024.01.03 10:00:00,2057.055,2057.355,2052.855,2055.095,0.62745
2024.01.03 11:00:00,2055.085,2055.882,2046.985,2047.815,1.85673
2024.01.03 12:00:00,2047.845,2048.555,2042.035,2045.915,1.56446
2024.01.03 13:00:00,2046.005,2048.205,2038.945,2041.265,1.76398
2024.01.03 14:00:00,2041.275,2042.565,2031.995,2038.195,3.11294
2024.01.03 15:00:00,2037.955,2048.995,2032.125,2032.795,5.67758
2024.01.03 16:00:00,2032.855,2036.275,2031.535,2032.675,1.84727
2024.01.03 17:00:00,2032.702,2034.005,2030.892,2033.565,1.85488
2024.01.03 18:00:00,2033.575,2036.505,2033.145,2036.135,1.63296
2024.01.03 19:00:00,2036.145,2042.545,2030.865,2036.925,2.18191
2024.01.03 20:00:00,2036.925,2042.525,2036.772,2041.165,1.6706
2024.01.03 21:00:00,2041.285,2042.005,2040.545,2041.975,0.48055
2024.01.03 23:00:00,2042.452,2044.195,2042.015,2043.195,0.48945
2024.01.04 00:00:00,2043.165,2043.395,2041.785,2042.355,0.27574
2024.01.04 01:00:00,2042.365,2043.505,2040.402,2042.506,1.73222
2024.01.04 02:00:00,2042.495,2044.955,2042.495,2044.845,0.78215
2024.01.04 03:00:00,2044.835,2047.125,2044.345,2044.855,0.45519
2024.01.04 04:00:00,2044.855,2044.915,2042.702,2043.312,0.58317
2024.01.04 05:00:00,2043.315,2044.545,2042.655,2043.985,0.81807
2024.01.04 06:00:00,2043.995,2048.905,2043.875,2047.475,0.94275
2024.01.04 07:00:00,2047.465,2049.755,2046.755,2047.845,2.03568
2024.01.04 08:00:00,2047.915,2048.845,2045.665,2047.055,2.42279
2024.01.04 09:00:00,2047.035,2051.205,2046.505,2048.235,0.94677
2024.01.04 10:00:00,2048.205,2051.095,2046.875,2048.185,1.19142
2024.01.04 11:00:00,2048.155,2048.635,2045.145,2045.365,0.4603
2024.01.04 12:00:00,2045.285,2046.425,2043.572,2046.165,1.43809
2024.01.04 13:00:00,2046.215,2047.535,2039.045,2040.485,2.46094
2024.01.04 14:00:00,2040.505,2042.775,2036.492,2039.605,2.59691
2024.01.04 15:00:00,2039.635,2047.945,2039.315,2045.315,1.98295
2024.01.04 16:00:00,2045.365,2046.995,2044.342,2045.005,1.57425
2024.01.04 17:00:00,2045.005,2045.305,2041.105,2043.465,1.57182
2024.01.04 18:00:00,2043.365,2044.225,2041.745,2043.355,1.10633
2024.01.04 19:00:00,2043.335,2045.102,2042.685,2044.602,0.72845
2024.01.04 20:00:00,2044.602,2045.082,2043.262,2043.262,1.27342
2024.01.04 21:00:00,2043.262,2044.555,2043.262,2043.585,0.5561
2024.01.04 23:00:00,2044.812,2045.092,2043.032,2044.445,0.47114
2024.01.05 00:00:00,2044.445,2044.892,2043.552,2044.555,0.53594
2024.01.05 01:00:00,2044.565,2048.485,2044.342,2046.355,1.57599
2024.01.05 02:00:00,2046.375,2048.155,2045.895,2046.442,0.51407
2024.01.05 03:00:00,2046.462,2046.702,2045.015,2045.525,0.70816
2024.01.05 04:00:00,2045.555,2046.575,2044.685,2044.905,0.39777
2024.01.05 05:00:00,2044.865,2045.425,2043.365,2044.675,0.43557
2024.01.05 06:00:00,2044.635,2045.315,2041.095,2042.685,0.56837
2024.01.05 07:00:00,2042.695,2047.245,2042.275,2043.345,0.87343
2024.01.05 08:00:00,2043.365,2044.595,2041.595,2042.675,1.08907
2024.01.05 09:00:00,2042.595,2043.915,2038.635,2039.085,1.07075
2024.01.05 10:00:00,2039.115,2040.495,2037.575,2040.245,1.00853
2024.01.05 11:00:00,2040.225,2040.615,2037.372,2039.475,1.33516
2024.01.05 12:00:00,2039.465,2041.225,2038.645,2040.405,1.38185
2024.01.05 13:00:00,2040.425,2042.165,2024.695,2040.185,4.64033
2024.01.05 14:00:00,2040.185,2049.495,2038.985,2047.265,4.12272
2024.01.05 15:00:00,2047.255,2064.175,2047.255,2055.075,4.36485
2024.01.05 16:00:00,2055.105,2056.475,2044.355,2045.255,3.58961
2024.01.05 17:00:00,2045.255,2045.662,2040.655,2042.175,3.05259
2024.01.05 18:00:00,2042.175,2048.785,2040.705,2048.385,1.13392
2024.01.05 19:00:00,2048.415,2050.525,2045.182,2045.925,0.98595
2024.01.05 20:00:00,2045.945,2045.995,2043.095,2043.872,1.08681
2024.01.05 21:00:00,2043.872,2046.462,2043.872,2045.975,0.61299
2024.01.07 23:00:00,2046.355,2046.445,2043.175,2044.555,0.80188
2024.01.08 00:00:00,2044.585,2046.555,2044.045,2046.215,0.43266
2024.01.08 01:00:00,2046.075,2046.855,2043.142,2044.072,1.60766
2024.01.08 02:00:00,2044.075,2044.075,2041.485,2041.535,0.71052
2024.01.08 03:00:00,2041.485,2041.715,2035.295,2036.305,0.73489
2024.01.08 04:00:00,2036.375,2037.882,2035.865,2036.005,0.8681
2024.01.08 05:00:00,2035.955,2036.385,2027.322,2031.022,1.48778
2024.01.08 06:00:00,2031.035,2033.545,2030.585,2033.222,1.6287
2024.01.08 07:00:00,2033.225,2033.445,2028.825,2031.645,1.99375
