Time (UTC),Open_Bid,High_Bid,Low_Bid,Close_Bid,Volume_Bid,Open_Ask,High_Ask,Low_Ask,Close_Ask,Volume_Ask
2023.01.02 23:00:00,24.036,24.059,24.017,24.059,0.348,24.102,24.125,24.083,24.125,0.351
2023.01.02 23:05:00,24.064,24.13,24.064,24.092,1.8458,24.094,24.188,24.094,24.141,1.155
2023.01.02 23:10:00,24.094,24.098,23.972,23.977,0.903,24.143,24.148,24.022,24.027,0.882
2023.01.02 23:15:00,23.977,23.98,23.938,23.98,0.894,24.026,24.028,23.986,24.028,0.894
2023.01.02 23:20:00,23.978,24.024,23.976,24.023,0.888,24.026,24.073,24.023,24.073,0.9044
2023.01.02 23:25:00,24.026,24.061,24.026,24.058,0.762,24.075,24.105,24.073,24.09,0.747
2023.01.02 23:30:00,24.061,24.101,24.046,24.086,1.242,24.091,24.138,24.09,24.12,1.4448
2023.01.02 23:35:00,24.091,24.091,24.019,24.042,1.3522,24.125,24.125,24.062,24.072,1.828
2023.01.02 23:40:00,24.042,24.072,24.042,24.064,2.3625,24.072,24.102,24.072,24.094,3.0014
2023.01.02 23:45:00,24.063,24.068,24.048,24.067,1.8962,24.093,24.098,24.078,24.097,2.216
2023.01.02 23:50:00,24.067,24.076,24.053,24.066,2.5266,24.097,24.106,24.083,24.096,3.0062
2023.01.02 23:55:00,24.062,24.092,24.057,24.09,3.646,24.092,24.122,24.087,24.12,4.2256
2023.01.03 00:00:00,24.091,24.093,24.046,24.058,3.6924,24.121,24.123,24.076,24.088,7.549
2023.01.03 00:05:00,24.059,24.084,24.051,24.078,2.1968,24.089,24.114,24.081,24.108,4.9442
2023.01.03 00:10:00,24.079,24.136,24.078,24.125,5.419,24.109,24.166,24.108,24.155,11.8276
2023.01.03 00:15:00,24.129,24.154,24.07,24.109,7.8218,24.159,24.179,24.1,24.139,16.12322
2023.01.03 00:20:00,24.108,24.124,24.07,24.075,5.6327,24.138,24.154,24.1,24.105,12.2782
2023.01.03 00:25:00,24.074,24.097,24.051,24.074,5.0152,24.104,24.127,24.081,24.104,18.9898
2023.01.03 00:30:00,24.075,24.09,24.053,24.06,4.1846,24.105,24.12,24.083,24.09,9.7294
2023.01.03 00:35:00,24.061,24.07,24.052,24.052,3.4196,24.091,24.1,24.082,24.082,6.2452
2023.01.03 00:40:00,24.05,24.06,24.047,24.05,2.1064,24.08,24.09,24.077,24.08,3.4152
2023.01.03 00:45:00,24.048,24.071,24.046,24.066,2.2698,24.078,24.101,24.076,24.096,6.2688
2023.01.03 00:50:00,24.066,24.07,24.053,24.056,2.9962,24.096,24.1,24.083,24.086,6.595
2023.01.03 00:55:00,24.056,24.094,24.043,24.085,3.6862,24.086,24.124,24.073,24.115,9.2826
2023.01.03 01:00:00,24.085,24.169,24.046,24.06,18.9364,24.115,24.199,24.077,24.09,36.3012
2023.01.03 01:05:00,24.055,24.055,24.009,24.021,10.189,24.085,24.085,24.039,24.051,33.6744
2023.01.03 01:10:00,24.021,24.025,23.93,23.978,10.7726,24.051,24.055,23.96,24.008,45.5852
2023.01.03 01:15:00,23.978,24.011,23.955,23.962,8.7428,24.008,24.041,23.985,23.992,33.712
2023.01.03 01:20:00,23.96,23.96,23.875,23.883,9.7546,23.99,23.99,23.905,23.913,29.612
2023.01.03 01:25:00,23.883,23.935,23.871,23.925,8.4986,23.913,23.965,23.901,23.955,34.274
2023.01.03 01:30:00,23.916,24.007,23.902,23.987,11.5446,23.946,24.037,23.932,24.017,50.482
2023.01.03 01:35:00,23.99,23.99,23.934,23.941,7.8308,24.02,24.02,23.964,23.971,29.5538
2023.01.03 01:40:00,23.94,23.942,23.885,23.925,8.5973,23.97,23.972,23.915,23.955,37.2316
2023.01.03 01:45:00,23.926,23.932,23.888,23.905,6.0334,23.956,23.962,23.918,23.935,23.139
2023.01.03 01:50:00,23.9,23.981,23.9,23.979,6.2106,23.93,24.011,23.93,24.009,24.8912
2023.01.03 01:55:00,23.98,24.0,23.946,23.995,7.5648,24.01,24.03,23.976,24.025,21.3876
2023.01.03 02:00:00,23.998,24.028,23.973,24.025,7.9962,24.028,24.058,24.003,24.055,17.557
2023.01.03 02:05:00,24.026,24.077,24.026,24.068,7.4256,24.056,24.107,24.056,24.098,22.0502
2023.01.03 02:10:00,24.071,24.077,24.028,24.035,5.6714,24.101,24.107,24.058,24.065,20.3244
2023.01.03 02:15:00,24.031,24.037,24.007,24.025,4.4214,24.061,24.067,24.037,24.055,17.2514
2023.01.03 02:20:00,24.029,24.064,24.024,24.057,3.476,24.059,24.094,24.054,24.087,12.3858
2023.01.03 02:25:00,24.06,24.08,24.057,24.068,5.5438,24.09,24.11,24.087,24.098,17.934
2023.01.03 02:30:00,24.068,24.124,24.06,24.109,7.8954,24.098,24.154,24.09,24.139,27.8274
2023.01.03 02:35:00,24.108,24.119,24.083,24.116,6.6968,24.138,24.149,24.113,24.146,22.9652
2023.01.03 02:40:00,24.117,24.203,24.107,24.203,11.8486,24.147,24.233,24.137,24.233,31.2604
2023.01.03 02:45:00,24.204,24.213,24.167,24.205,12.1642,24.234,24.243,24.197,24.235,23.5582
2023.01.03 02:50:00,24.206,24.243,24.203,24.218,9.0856,24.236,24.273,24.233,24.248,27.263
