Time (UTC),Open,High,Low,Close,Volume 
2024.01.02 01:00:00,77.453,78.268,77.453,78.213,0.04739
2024.01.02 01:05:00,78.198,78.493,78.188,78.398,0.03212
2024.01.02 01:10:00,78.403,78.423,78.283,78.333,0.018
2024.01.02 01:15:00,78.328,78.398,78.118,78.128,0.01597
2024.01.02 01:20:00,78.118,78.128,77.888,77.933,0.01599
2024.01.02 01:25:00,77.928,78.118,77.908,78.093,0.01814
2024.01.02 01:30:00,78.098,78.138,77.963,78.008,0.01449
2024.01.02 01:35:00,78.018,78.068,77.928,77.938,0.01178
2024.01.02 01:40:00,77.948,78.068,77.948,78.058,0.00696
2024.01.02 01:45:00,78.068,78.088,77.993,77.998,0.00791
2024.01.02 01:50:00,78.008,78.138,78.003,78.103,0.00787
2024.01.02 01:55:00,78.108,78.118,77.958,78.008,0.00741
2024.01.02 02:00:00,78.003,78.098,77.998,78.078,0.00957
2024.01.02 02:05:00,78.073,78.123,78.033,78.088,0.00601
2024.01.02 02:10:00,78.078,78.158,78.078,78.138,0.00428
2024.01.02 02:15:00,78.143,78.143,78.083,78.108,0.00221
2024.01.02 02:20:00,78.103,78.118,78.093,78.093,0.00131
2024.01.02 02:25:00,78.103,78.123,78.083,78.098,0.00195
2024.01.02 02:30:00,78.103,78.203,78.103,78.188,0.00674
2024.01.02 02:35:00,78.193,78.338,78.193,78.333,0.00837
2024.01.02 02:40:00,78.338,78.378,78.333,78.368,0.00522
2024.01.02 02:45:00,78.358,78.373,78.258,78.273,0.00804
2024.01.02 02:50:00,78.283,78.303,78.243,78.263,0.00945
2024.01.02 02:55:00,78.258,78.273,78.208,78.268,0.01228
2024.01.02 03:00:00,78.273,78.408,78.273,78.403,0.00844
2024.01.02 03:05:00,78.413,78.473,78.398,78.433,0.00849
2024.01.02 03:10:00,78.438,78.483,78.433,78.453,0.00851
2024.01.02 03:15:00,78.463,78.478,78.363,78.378,0.01065
2024.01.02 03:20:00,78.373,78.413,78.353,78.378,0.00687
2024.01.02 03:25:00,78.373,78.393,78.338,78.338,0.00924
2024.01.02 03:30:00,78.343,78.348,78.288,78.293,0.00086
2024.01.02 03:35:00,78.298,78.328,78.283,78.308,0.00198
2024.01.02 03:40:00,78.313,78.363,78.313,78.348,0.00196
2024.01.02 03:45:00,78.353,78.358,78.333,78.338,0.00127
2024.01.02 03:50:00,78.333,78.343,78.278,78.288,0.00169
2024.01.02 03:55:00,78.283,78.333,78.283,78.323,0.00131
2024.01.02 04:00:00,78.318,78.346,78.253,78.263,0.00216
2024.01.02 04:05:00,78.258,78.318,78.258,78.308,0.00094
2024.01.02 04:10:00,78.288,78.323,78.288,78.308,0.00071
2024.01.02 04:15:00,78.313,78.313,78.283,78.288,0.00067
2024.01.02 04:20:00,78.283,78.318,78.263,78.273,0.00137
2024.01.02 04:25:00,78.263,78.288,78.243,78.273,0.00177
2024.01.02 04:30:00,78.268,78.293,78.258,78.268,0.00097
2024.01.02 04:35:00,78.263,78.308,78.263,78.308,0.00101
2024.01.02 04:40:00,78.318,78.328,78.303,78.323,0.00118
2024.01.02 04:45:00,78.318,78.353,78.303,78.348,0.00209
2024.01.02 04:50:00,78.353,78.373,78.353,78.368,0.00067
2024.01.02 04:55:00,78.373,78.423,78.363,78.413,0.00115
2024.01.02 05:00:00,78.423,78.458,78.423,78.453,0.00174
2024.01.02 05:05:00,78.448,78.458,78.443,78.453,0.00058
2024.01.02 05:10:00,78.448,78.478,78.448,78.473,0.00163
2024.01.02 05:15:00,78.468,78.478,78.458,78.463,0.00247
2024.01.02 05:20:00,78.458,78.463,78.443,78.448,0.00117
2024.01.02 05:25:00,78.443,78.463,78.433,78.438,0.00155
2024.01.02 05:30:00,78.443,78.463,78.433,78.448,0.00653
2024.01.02 05:35:00,78.458,78.458,78.433,78.443,0.00365
2024.01.02 05:40:00,78.433,78.433,78.353,78.413,0.00395
2024.01.02 05:45:00,78.418,78.468,78.398,78.408,0.00396
2024.01.02 05:50:00,78.413,78.443,78.408,78.423,0.00211
2024.01.02 05:55:00,78.428,78.568,78.418,78.553,0.00564
2024.01.02 06:00:00,78.558,78.583,78.483,78.508,0.00603
2024.01.02 06:05:00,78.503,78.548,78.488,78.518,0.00329
2024.01.02 06:10:00,78.523,78.623,78.523,78.598,0.0058
2024.01.02 06:15:00,78.593,78.608,78.548,78.568,0.00421
2024.01.02 06:20:00,78.583,78.588,78.563,78.578,0.00218
2024.01.02 06:25:00,78.588,78.638,78.583,78.628,0.00254
2024.01.02 06:30:00,78.623,78.638,78.613,78.613,0.00321
2024.01.02 06:35:00,78.578,78.603,78.553,78.578,0.00322
