Time (UTC),Open,High,Low,Close,Volume 
2024.01.02 01:00:00,77.403,78.218,77.403,78.163,0.0369
2024.01.02 01:05:00,78.148,78.443,78.138,78.348,0.02768
2024.01.02 01:10:00,78.353,78.373,78.233,78.283,0.01774
2024.01.02 01:15:00,78.278,78.348,78.068,78.078,0.01532
2024.01.02 01:20:00,78.068,78.078,77.838,77.883,0.01511
2024.01.02 01:25:00,77.878,78.068,77.858,78.043,0.01075
2024.01.02 01:30:00,78.048,78.088,77.913,77.958,0.01571
2024.01.02 01:35:00,77.968,78.018,77.874,77.888,0.0116
2024.01.02 01:40:00,77.898,78.018,77.898,78.008,0.00667
2024.01.02 01:45:00,78.018,78.038,77.943,77.948,0.00818
2024.01.02 01:50:00,77.958,78.088,77.953,78.053,0.00778
2024.01.02 01:55:00,78.058,78.068,77.908,77.958,0.00727
2024.01.02 02:00:00,77.953,78.048,77.948,78.028,0.00872
2024.01.02 02:05:00,78.023,78.073,77.983,78.038,0.00655
2024.01.02 02:10:00,78.028,78.108,78.028,78.088,0.00467
2024.01.02 02:15:00,78.093,78.093,78.033,78.058,0.00239
2024.01.02 02:20:00,78.053,78.068,78.043,78.043,0.00133
2024.01.02 02:25:00,78.053,78.073,78.033,78.048,0.00168
2024.01.02 02:30:00,78.053,78.153,78.053,78.138,0.00644
2024.01.02 02:35:00,78.143,78.288,78.143,78.283,0.00829
2024.01.02 02:40:00,78.288,78.328,78.283,78.318,0.00538
2024.01.02 02:45:00,78.308,78.323,78.208,78.223,0.00788
2024.01.02 02:50:00,78.233,78.253,78.193,78.213,0.00899
2024.01.02 02:55:00,78.208,78.223,78.158,78.218,0.01148
2024.01.02 03:00:00,78.223,78.358,78.223,78.353,0.00746
2024.01.02 03:05:00,78.363,78.423,78.348,78.383,0.00821
2024.01.02 03:10:00,78.388,78.433,78.383,78.403,0.00666
2024.01.02 03:15:00,78.413,78.428,78.313,78.328,0.01127
2024.01.02 03:20:00,78.323,78.363,78.303,78.328,0.00659
2024.01.02 03:25:00,78.323,78.343,78.288,78.288,0.00917
2024.01.02 03:30:00,78.293,78.298,78.238,78.243,0.00095
2024.01.02 03:35:00,78.248,78.278,78.233,78.258,0.00212
2024.01.02 03:40:00,78.263,78.313,78.263,78.298,0.0021
